Día, Mes, Año de H_Fecha;Hora de H_Fecha;Aut Nombre;Disp Nombre;Disp Ubicacion;Seccion Sentido;Disp Lat;Disp Lng;H_Cant_Veh
11/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;588
11/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;444
11/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;378
11/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;664
11/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1753
11/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3380
11/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5965
11/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6878
11/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6746
11/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6153
11/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5811
11/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5222
11/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2677
11/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2490
11/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3272
11/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2591
11/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1662
11/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1463
12/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1098
12/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;750
12/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;521
12/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;500
12/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;706
12/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1729
12/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3477
12/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5917
12/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6810
12/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6969
12/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6150
12/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5502
12/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5351
12/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5233
12/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4995
12/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4632
12/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4442
12/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5260
12/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4682
12/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3714
